name,address,price,neighborhood,county,type,reviews,stars,match_camis,match_distance,match_name
Salumeria Rosi,"283 Amsterdam Avenue,New York, NY  10023",2,Upper West Side ,New York County, Italian,43,3.8,41373293,0.0,salumeria rossi parmacotto
Salmon River,"3 East 40th Street,New York, NY  10016",2,Midtown East ,New York County, Seafood,50,3.5,41551165,0.02265985236373981,sunrise mart
Salt Bar,"29 Clinton Street,New York, NY  10002",2,Lower East Side ,New York County, American,20,3.7,41330645,0.02020591043576978,cocoa bar
Salon Millesime,"92 Madison Ave.,New York, NY  10016",2,Gramercy / Flatiron ,New York County, Tapas / Small Plates,8,3.3,41497864,0.0065881234877838086,millesime
Saju Bistro,"120 West 44th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, French,110,3.7,41265462,0.000940998193280665,saju bistro
Rye House,"11 W. 17th St.,New York, NY  10011",3,Union Square ,New York County, American,42,3.3,41416781,0.0,ryehouse
Sagaponack Bar and Grill,"4 West 22nd Street,New York, NY  10010",2,Gramercy / Flatiron ,New York County, American,115,3.7,50039990,0.004021113225583398,sagaponack
Sakagura,"211 East 43rd Street,Basement,New York, NY  10017",3,Midtown East ,New York County, Japanese,33,4.2,40542427,0.0,saka gura
Sala One Nine,"35 West 19th Street,New York, NY  10011",2,Gramercy / Flatiron ,New York County, Spanish,94,3.8,41067778,0.0005654107195942408,sala one nine
Sachiko's on Clinton,"25 Clinton Street,New York, NY  10002",3,Lower East Side ,New York County, Japanese,15,3.5,40949185,0.011589091246654993,thelma on clinton
Salt,"58 MacDougal Street,New York, NY  10012",2,SoHo ,New York County, Contemporary American,113,3.8,41489806,0.1149783733047227,masala times
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street,New York, NY  10019",4,Theater District / Times Square ,New York County, Steak,163,4.3,40894838,0.0,ruth's chris steakhouse
Russian Firebird Restaurant Time Square,"365 West 46th Street,New York, NY  10036",4,Theater District / Times Square ,New York County, Russian,93,3.9,50051020,0.0565717973191341,samba brazil restaurant
Russian Tea Room - NYC,"150 W 57th Street,New York, NY  10019",4,Midtown West ,New York County, Continental,378,4.0,41278212,0.0,the russian tea room
Rothmann's Steakhouse - NYC,"3 E. 54th Street,New York, NY  10022",4,Midtown East ,New York County, American,57,4.2,40545741,0.10691850587271678,bob's steak & chop house
Ruby Foo's - Times Square,"1626 Broadway,New York, NY  10019",3,Theater District / Times Square ,New York County, Asian,208,3.7,41014384,0.07573526795546826,tonic times square
The Round Table at the Algonquin Hotel,"59 West 44th Street,New York, NY  10036",3,Midtown West ,New York County, Contemporary American,9,4.6,41627949,0.0023346735639222784,algonquin hotel
Rosanjin,"141 Duane Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Japanese,20,4.5,41179005,0.0028719578618050918,rosan jin
Rosie O'Grady's - Times Square,"149 West 46th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, American,63,3.6,41091216,0.05866629309152904,o'lunney's times square pub
Rosa Mexicano - Union Square,"9 E. 18th St.,New York, NY  10003",3,Union Square ,New York County, Mexican / Southwestern,454,3.9,41106233,0.0007033896885632714,rosa mexicano
Rouge Tomate,"10 East 60th Street,New York, NY  10022",3,Midtown East ,New York County, Contemporary American,368,4.1,50057084,0.12520833728814212,doughnuttery
Rosie O'Grady's,"800 7th Avenue,New York, NY  10019",3,Midtown West ,New York County, American,98,3.8,40374711,0.0,rosie o'grady restaurant
Rosa Mexicano - Lincoln Center,"61 Columbus Avenue,New York, NY  10023",3,Lincoln Center ,New York County, Mexican / Southwestern,442,4.1,40760523,0.0009827231623190434,rosa mexicana
Rosa Mexicano - First Avenue,"1063 1st Avenue,New York, NY  10022",3,Midtown East ,New York County, Mexican / Southwestern,181,4.2,40381797,0.0,rosa mexicano
Roc Restaurant,"190 - A Duane Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Italian,54,3.8,40728151,0.0070379446459464855,roc restaurant
Riverview,"2-01 50th Avenue,Long Island City, NY  11101",3,Long Island City ,Queens County, American,47,3.5,50034322,0.0,riverview restaurant
Riverpark,"450 East 29th Street,New York, NY  10016",2,Murray Hill ,New York County, American,121,4.1,50037589,0.006642290158572972,riverpark
River Cafe,"1 Water St.,Brooklyn, NY  11201",4,DUMBO / Vinegar Hill ,Kings County, American,471,4.5,40369608,0.02957291114979467,the river cafe
Ristorante DeGrezia,"231 E 50th Street,New York, NY  10022",3,Midtown East ,New York County, Italian,50,4.4,41673493,0.0019221788262161932,degrezia
Resto,"111 East 29th Street,New York, NY  10016",3,Gramercy / Flatiron ,New York County, Belgian,109,3.8,50002130,0.028925301501653254,fresh & co
Rino Trattoria ,"877 Eighth Avenue,New York, NY  10019",2,Theater District / Times Square ,New York County, Italian,27,3.7,40483596,0.10545452113028982,gershwin theatre
Riingo,"205 E. 45th Street,New York, NY  10017",3,Midtown East ,New York County, Contemporary American,37,3.6,41555644,0.015071904246900403,aburiya kinnosuke
Restaurant Soba Nippon,"19 West 52nd Street,New York, NY  10019",3,Midtown West ,New York County, Japanese,33,3.4,50003079,0.08226959531331964,barilla restaurants
Revel,"10 Little West 12th Street,New York, NY  10014",3,Meatpacking District ,New York County, European,67,3.6,41131819,0.0006049860957806308,revel itm garden
Restaurant i - Hotel Gramerci,"893 Broadway,New York, NY  10003",3,Gramercy / Flatiron ,New York County, American,13,3.5,40741900,0.09582140290423567,giorgio's of gramercy
Restaurant Nippon,"155 East 52nd Street,New York, NY  10022",3,Midtown East ,New York County, Japanese,37,4.0,40379746,0.002853864297831263,restuarant nippon
Remi,"145 West 53rd Street,New York, NY  10019",4,Midtown West ,New York County, Italian,179,4.0,41118090,0.0,remi
Redeye Grill,"890 Seventh Avenue,New York, NY  10019",3,Midtown West ,New York County, American,226,3.9,40538766,0.03736124663563641,red eye grill
Regional,"2607 Broadway,New York, NY  10025",2,Upper West Side ,New York County, Italian,42,3.5,41096822,0.007352624198661697,regional
Red Restaurant,"19 Fulton Street,New York, NY  10038",2,South Street Seaport ,New York County, Mexican / Southwestern,16,3.8,41591488,0.12184357005812715,acqua restaurant
Red Cat,"227 Tenth Avenue,New York, NY  10011",3,Chelsea ,New York County, American,295,4.1,40682813,0.0009297739258726322,the red cat
Red Egg,"202 Centre Street,New York, NY  10013",2,Chinatown ,New York County, Chinese,37,3.4,50047633,0.0014033016102224976,red egg
Recette,"328 West 12th Street,New York, NY  10014",3,West Village ,New York County, Contemporary American,200,3.9,50045025,0.10150323130322896,rebel coffee
Rayuela,"165 Allen Street,New York, NY  10002",3,Lower East Side ,New York County, Latin American,163,4.0,41108999,0.09620691305569547,pala
Re Sette,"7 West 45th Street,New York, NY  10036",4,Midtown West ,New York County, Italian,37,3.6,40942073,0.0004397372932920016,re sette
Rare Bar and Grill,"152 West 26th Street,New York, NY  10001",2,Chelsea ,New York County, Comfort Food,94,3.8,41477944,0.00036353513364019126,rare bar  and  grill
Radiance Tea House & Books,"158 West 55th St.,New York, NY  10019",2,Midtown West ,New York County, Asian,9,3.9,41327412,0.0,radiance tea house & books
Raoul's,"180 Prince St.,New York, NY  10012",3,SoHo ,New York County, Contemporary French,102,4.1,40368752,0.0031593605201884847,raouls
reBar,"147 Front Street,Brooklyn, NY  11201",2,DUMBO / Vinegar Hill ,Kings County, Gastro Pub,15,3.5,40978834,0.011263021650912306,68 jay street bar
The Rabbit in the Moon,"47 West 8th Street,New York, NY  10011",2,Greenwich Village ,New York County, English,40,3.9,41279509,0.12371314753624446,the happiest hour
Quality Meats,"57 West 58th Street,New York, NY  10019",4,Midtown West ,New York County, American,392,4.3,40559892,0.004071412839239551,quality meats
Quattro - Trump Soho,"246 Spring Street,New York, NY  10013",3,SoHo ,New York County, Italian,99,3.9,40849849,0.165575733109519,famous ben's pizza of soho
Pylos,"128 East 7th Street,New York, NY  10009",3,East Village ,New York County, Greek,39,4.1,41001677,0.0001474307454991436,pylos
R Lounge at Two Times Square,"714 Seventh Avenue,Two Times Square,New York, NY  10036",3,Theater District / Times Square ,New York County, Tapas / Small Plates,58,3.8,40868843,0.056147675480959364,w times square
Public,"210 Elizabeth Street,New York, NY  10012",3,NoLita ,New York County, International,229,4.0,40990288,0.00788099765627594,public restaurant/the daily
Pulse Restaurant and Bar,"45 Rockefeller Plaza,3rd Floor,New York, NY  10111",2,Rockefeller Center Midtown ,New York County, American,8,3.6,40720423,0.10173964547314512,soba nippon japanese restaurant
Puttanesca,"859 9th Avenue,New York, NY  10019",2,Midtown West ,New York County, Italian,126,3.4,50048578,0.1287975761214167,tacuba
Pure Food and Wine,"54 Irving,New York, NY  10003",4,Gramercy / Flatiron ,New York County, Vegetarian,203,4.1,41283023,0.02972854634013478,pierre loti cafe wine bar
Punch Restaurant,"913 Broadway,New York, NY  10010",2,Gramercy / Flatiron ,New York County, American,61,3.7,50017665,0.11175720926090026,koa restaurant
Punta Dura,"41-15 34th Avenue,Astoria, NY  11103",3,Astoria ,Queens County, Italian,3,4.0,41280375,0.16223168693956957,panera bread
Primehouse New York,"381 Park Avenue South at 27th Street,New York, NY  10016",4,Gramercy / Flatiron ,New York County, Steakhouse,128,4.1,41515513,0.0702938519511699,park avenue winter
Pranna,"79 Madison Avenue,New York, NY  10016",3,Gramercy / Flatiron ,New York County, Southeast Asian,60,3.6,41713487,0.11722035822304117,spreads
The Post House,"28 E.63rd St.,New York, NY  10021",4,Upper East Side ,New York County, American,58,4.0,40635454,0.0018144446937341059,the lowell
Pound & Pence,"55 Liberty Street,New York, NY  10005",2,Financial District ,New York County, Contemporary American,16,3.4,41022701,0.0,pound and pence
Portobello Restaurant,"208 Thompson Street,New York, NY  10012",2,Greenwich Village ,New York County, Italian,1,2.0,40380648,0.0005477495171676003,porto bello restaurant
Pomme Cafe & Brasserie,"37-19 Broadway,Astoria, NY  11103",2,Astoria ,Queens County, French,14,3.4,40596549,0.09896061097281102,pollos a la barasa mario
Ponte's Restaurant,"39 Desbrosses Street,New York, NY  10013",2,TriBeCa - Downtown ,New York County, Italian,6,3.7,41301130,0.22491993305603203,tauro restaurant
Pomaire,"371 West 46th Street,New York, NY  10036",2,Theater District / Times Square ,New York County, Latin American,55,3.7,40810784,0.06692811939204073,barrage
Porter House New York,"10 Columbus Circle,New York, NY  10019",4,Midtown West ,New York County, Steakhouse,226,4.1,41215525,0.025539160506122396,porter house bar & grill
Plunge Bar,"18 Ninth Ave,New York, NY  10014",3,Meatpacking District ,New York County, American,-1,-1,50056941,0.12214697666159267,crudo bar
Ponty Bistro,"218 Third Avenue,New York, NY  10003",2,Gramercy / Flatiron ,New York County, French,41,3.9,41370730,0.0006127445078115852,ponty bistro
Poco,"33 Avenue B,New York, NY  10009",2,Lower East Side ,New York County, Tapas / Small Plates,99,3.9,41264019,0.0,poco
Pipa,"38 East 19th Street,New York, NY  10003",2,Union Square ,New York County, Tapas / Small Plates,191,3.8,41701274,0.1027296748742782,ainsworth park
Plataforma Churrascaria,"316 West 49th Street,New York, NY  10019",4,Theater District / Times Square ,New York County, Brazilian Steakhouse,112,4.1,40546098,0.0,churrascaria plataforma
Piquant Restaurant,"259 Flatbush Avenue,Brooklyn, NY  11217",2,Park Slope ,Kings County, Mexican / Southwestern,20,4.2,41265576,0.002481736161968566,piquant
Plein Sud,"85 West Broadway,New York, NY  10007",3,TriBeCa - Downtown ,New York County, French,100,3.6,41348372,0.014237196345796156,le pain quotidien
Pio Pio - Jackson Heights,"84-02 Northern Blvd,Jackson Heights, NY  11372",3,Jackson Heights ,Queens County, Peruvian,2,5.0,41207580,0.0340079651976854,pio pio to go
Piola - New York City,"48 East 12th Street,New York, NY  10003",2,Union Square ,New York County, Italian,46,3.6,41632513,0.06901076380449117,village taverna greek grill
Pio Pio - Hell's Kitchen,"604 Tenth Avenue,New York, NY  10036",3,Hell's Kitchen ,New York County, Peruvian,96,3.9,41624530,0.0,pio pio
Pietrasanta,"683 9th Avenue,New York, NY  10036",2,Hell's Kitchen ,New York County, Italian,38,3.6,41236497,0.0,pietrasanta
Picholine,"35 West 64th St.,New York, NY  10023",4,Lincoln Center ,New York County, French,257,4.5,50037749,0.21226936502559943,il violino
PicNic Market & Cafe,"2665 Broadway,New York, NY  10025",2,Upper West Side ,New York County, French,46,3.2,50018085,0.20525355118319868,earth cafe
Piccola Venezia Restaurant,"42-01 28th Ave,Astoria, NY  11103",4,Astoria ,Queens County, Italian,31,4.3,40367540,0.0021679428488114434,piccola venezia
Piano Due,"151 West 51st Street,New York, NY  10019",4,Midtown West ,New York County, Italian,78,4.1,41148666,0.03359801115345948,cafe duke
Philoxenia Restaurant,"32-07 34th Ave,Astoria, NY  11106",2,Astoria ,Queens County, Greek,29,3.8,50036224,0.20189287768277106,nazca restaurant
Philippe,"33 East 60th Street,New York, NY  10022",3,Upper East Side ,New York County, Chinese,201,3.8,50007093,0.002928200097637162,philippe nyc i
Petrossian - New York,"182 West 58th Street,New York, NY  10019",4,Midtown West ,New York County, Contemporary French,124,4.0,40380518,0.0009823829551543208,petrossian restauraunt
Petaluma,"1356 1st Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,58,3.7,41614210,0.0025889732531204066,petaluma
Pescatore,"955-957 2nd Ave.,New York, NY  10022",3,Midtown East ,New York County, Italian,49,3.7,41535860,0.0054856956317725905,pescatore
Persepolis,"1407 Second Avenue,New York, NY  10021",2,Upper East Side ,New York County, Persian,37,3.7,41217335,0.0017059386166670815,persepolis
Persephone,"115 East 60th Street,New York, NY  10022",3,Upper East Side ,New York County, Greek,87,3.9,40382679,0.09358094085323514,regency hotel
Percy's Tavern | Knife + Fork Restaurant,"210 Avenue A,New York, NY  10009",3,East Village ,New York County, Modern European,8,4.4,41534162,0.0,percy's tavern
Periyali,"35 W. 20th St.,New York, NY  10011",3,Gramercy / Flatiron ,New York County, Greek,147,4.0,40386619,0.003253933780588477,periyali
Perilla Restaurant,"9 Jones Street,New York, NY  10014",3,Greenwich Village ,New York County, American,326,4.2,40645573,0.06419366711823665,po restaurant
Per Lei,"1347 Second Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,80,3.8,41165892,0.0,per lei
Per Se,"10 Columbus Circle,New York, NY  10019",4,Columbus Circle ,New York County, American,143,4.7,41008641,0.025539160506122396,per se
Pera Mediterranean Brasserie,"303 Madison Avenue,New York, NY  10017",3,Midtown East ,New York County, Mediterranean,170,3.7,41212839,0.0,pera mediterranean brasserie
Penthouse 808 at the Ravel Hotel,"8-08 Queens Plaza South,Long Island City, NY  11101",3,Long Island City ,Queens County, Pan-Asian,39,3.5,50011633,0.37958621597132364,the mill coffee house
Perry St,"176 Perry Street,New York, NY  10014",3,West Village ,New York County, Contemporary American,266,4.2,41091215,0.007271741125654173,perry street
Perbacco - NYC,"234 East 4th Street,New York, NY  10009",3,East Village ,New York County, Italian,123,4.0,41376199,0.14535905685534842,paradiso ny
The Pembroke Room - The Lowell New York,"28 East 63rd Street,New York, NY  10065",3,Upper East Side ,New York County, Contemporary American,10,4.3,40635454,0.0018144446937341059,the lowell
Pelea Mexicana,"33 Avenue of the Americas,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Mexican,12,3.7,41573997,0.10381782226826192,cafe clementine
The Pearl Room,"8201 3rd Ave,Brooklyn, NY  11209",3,Bay Ridge ,Kings County, Seafood,11,4.0,50045873,0.17575300813014771,the pearl room
Peacock Alley,"301 Park Ave,New York, NY  10022",4,Midtown East ,New York County, Contemporary American,49,4.0,50039307,0.0,peacock alley
Peasant,"194 Elizabeth Street,New York, NY  10012",3,SoHo ,New York County, Italian,247,4.0,40723269,0.002013396437738532,peasant
Pazza Notte,"1375A 6th Avenue,New York, NY  10019",2,Midtown West ,New York County, Mediterranean,12,3.4,40843676,0.0,pazza notte
Pazzia,"1574 2nd Avenue,New York, NY  10028",2,Upper East Side ,New York County, Italian,-1,-1,50046323,0.08030680782912322,vinnie's pizzeria
Patty and Bun,"61 West 8th St.,New York, NY  10011",2,West Village ,New York County, American,23,3.4,50043664,0.08355597618017777,quality eats
Paul & Jimmy's Restaurant,"123 East 18th Street,New York, NY  10003",2,Gramercy / Flatiron ,New York County, Italian,20,3.4,40579607,0.0017231445182603676,paul & jimmy's restaurant
Patroon,"160 East 46th Street,New York, NY  10017",3,Midtown East ,New York County, American,57,4.1,40550765,0.032333682668212925,aretsky's patroon
Pascalou,"1308 Madison Avenue,New York, NY  10128",2,Upper East Side ,New York County, Contemporary French,66,3.8,40394207,0.0,pascalou
Parlor Steakhouse,"1600 3rd Avenue,New York, NY  10128",3,Upper East Side ,New York County, Steakhouse,151,3.9,41326866,0.0027117243797576667,parlor steak and fish
The Park Room at The Helmsley Park Lane Hotel,"36 Central Park South,New York, NY  10019",3,Midtown West ,New York County, Continental,13,3.5,50015659,0.0,park lane hotel
Park Avenue Winter,"100 E. 63rd St.,New York, NY  10021",3,Upper East Side ,New York County, Contemporary American,252,4.1,50010972,0.11131673908176681,sprinkles ice cream
Park Avenue Tavern,"99 Park Avenue,New York, NY  10016",3,Midtown East ,New York County, Contemporary American,-1,-1,41546054,0.003811271693561645,park avenue tavern
The Parlour Midtown,"247 West 30th St.,New York, NY  10001",2,Midtown West ,New York County, Steakhouse,9,3.9,50044612,0.08149687113395834,bar at the garden
Pasha - NYC,"70 West 71st Street,New York, NY  10023",3,Upper West Side ,New York County, Turkish,85,3.9,50057588,0.03907391528111904,ella nyc
Park Avenue Bistro,"377 Park Avenue South,New York, NY  10016",3,Gramercy / Flatiron ,New York County, French,31,3.5,41515513,0.057836894893932074,park avenue winter
The Park,"118 10th Avenue,New York, NY  10011",2,Chelsea ,New York County, American,151,3.4,41616574,0.17124057414466015,the tippler
Paprika,"110 St. Marks Place,New York, NY  10009",2,East Village ,New York County, Italian,53,4.0,41617526,0.020924536902424386,proletariat ny
Papillon Bistro and Bar,"22 East 54 St.,New York, NY  10022",3,Midtown East ,New York County, French,18,3.6,41103208,0.0,papillon bistro & bar
Paradou,"8 Little West 12th Street,New York, NY  10014",2,Meatpacking District ,New York County, French,111,3.5,40860110,0.0,paradou
Pappardella,"316 Columbus Avenue,New York, NY  10023",3,Upper West Side ,New York County, Italian,38,3.6,41585567,0.0,pappardella
Papasito Mexican Grill and Agave Bar,"223 Dyckman Street,New York, NY  10034",2,Inwood ,New York County, Mexican,13,3.8,41477055,0.0,papasito mexican grill
Papatzul,"55 Grand Street,New York, NY  10013",3,SoHo ,New York County, Mexican / Southwestern,45,3.6,41188476,0.001630720740145168,papatzul
Paola's Restaurant,"1295 Madison Ave,New York, NY  10028",3,Upper East Side ,New York County, Italian,73,4.0,41387793,0.005866915304690605,paola's
Pampano,"209 E. 49th St.,New York, NY  10017",3,Midtown East ,New York County, Mexican,160,4.0,40946989,0.0,pampano
The Palm - NYC Too,"840 Second Avenue,New York, NY  10017",3,Midtown East ,New York County, Steakhouse,134,4.2,40369017,0.0015783325723488192,palm too
Palma,"28 Cornelia Street,New York, NY  10003",3,Greenwich Village ,New York County, Italian,60,4.2,40803254,0.001771147361453957,palma
Pane e Vino - Brooklyn,"174 Smith Street,Brooklyn, NY  11201",2,Cobble Hill ,Kings County, Italian,48,3.8,41165642,0.0028571930728333813,pane e vino
The Palm - NYC West Side,"250 West 50th Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Steakhouse,369,4.3,50008409,0.05016326029422682,canteen m - citizen m
The Palm - NYC One,"837 Second Avenue,New York, NY  10017",3,Midtown East ,New York County, Steakhouse,187,4.2,50019060,0.05258135627738894,east palace
The Palm - Tribeca,"206 West Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Steakhouse,119,4.1,41372589,0.023043535089414955,palm restaurant
Pala,"198 Allen Street,New York, NY  10002",2,Lower East Side ,New York County, Italian,71,4.0,41108999,0.0,pala
Padre Figlio,"310 East 44th Street,New York, NY  10017",3,Midtown East ,New York County, Seafood,105,4.2,41390998,0.07875091397298005,cafe olympia
The Palm Court at The Plaza Hotel,"Fifth Avenue at Central Park South,New York, NY  10019",3,Midtown East ,New York County, American,349,4.0,50000233,0.07372548137846674,palm court
Ovelia Psistaria Bar,"34-01 30th Avenue,Astoria, NY  11103",2,Astoria ,Queens County, Greek,1,4.0,41213051,0.01695367315437035,ovelia restaurant
Osteria Morini,"218 Lafayette Street,New York, NY  10012",2,SoHo ,New York County, Italian,113,4.1,41519961,0.0001891188339362698,morini osteria romagnola
Ouest,"2315 Broadway,New York, NY  10024",4,Upper West Side ,New York County, American,261,4.1,41290351,0.10593247413809133,joe's
Otto Enoteca Pizzeria,"1 Fifth Avenue,New York, NY  10003",2,Greenwich Village ,New York County, Italian,713,3.8,40927017,0.004317117077581557,otto enoteca pizzeria
Osteria Del Circo,"120 West 55th Street,New York, NY  10019",4,Midtown West ,New York County, Italian,138,4.1,41260838,0.04716030627365796,stage star deli
Osteria Il Paiolo,"106 North 6th Street,Brooklyn, NY  11211",2,Williamsburg ,Kings County, Italian,7,3.9,50043740,0.028370015500038155,sea thai
Osteria al Doge,"142 West 44th Street,New York, NY  10036",3,Theater District / Times Square ,New York County, Italian,209,3.9,41530258,0.0005574036216141829,osteria al dodge
Osteria Laguna,"209 East 42nd St.,New York, NY  10017",3,Midtown East ,New York County, Italian,77,3.7,40578252,0.0,osteria laguna
Osso Buco Uptown,"1662 3rd Avenue,New York, NY  10128",2,Upper East Side ,New York County, Italian,34,4.1,50034278,0.18499588666837546,go cups
Oscar's at the Waldorf Astoria,"Corner 50th St. & Lexington Ave,New York, NY  10022",2,Midtown East ,New York County, American,18,3.3,50043290,0.05432703139111651,la chine waldorf astoria
Organika,"89 7th Avenue South,New York, NY  10014",2,West Village ,New York County, Organic,9,3.2,50002474,0.039825151903668754,pagani
Organic Grill,"123 First Ave,New York, NY  10003",2,East Village ,New York County, Organic,14,3.6,41684926,0.0021866373511482255,the organic grill
Orsay,"1057-59 Lexington Avenue,New York, NY  10021",3,Upper East Side ,New York County, French,118,3.8,40716489,0.0,orsay
Onieals,"174 Grand Street,New York, NY  10013",2,SoHo ,New York County, American,5,3.6,40401912,0.0008872470175553161,o'nieals
Ornella Trattoria Italiana,"29-17 23rd Avenue,Astoria, NY  11105",2,Astoria ,Queens County, Italian,1,5.0,41471562,0.001035200800479414,ornella trattoria italiana
The Orchard,"162 Orchard St.,New York, NY  10002",3,Lower East Side ,New York County, American,112,4.0,50017235,0.05070531251997258,el sombrero
Opia,"130 East 57th Street,New York, NY  10022",3,Midtown East ,New York County, French,45,3.3,40842371,0.0,opia restaurant
One 83,"1608 1st Avenue,New York, NY  10128",3,Upper East Side ,New York County, Italian,31,3.7,41709938,0.16496566280894515,ottomanelli cafe
"One if by Land, Two if by Sea","17 Barrow St.,New York, NY  10014",4,Greenwich Village ,New York County, American,514,4.3,50038958,0.0007037132200748442,one if by land two if by sea
Ofrenda,"113 7th Avenue South,New York, NY  10014",2,West Village ,New York County, Mexican,50,3.5,41452375,0.0005875246244911969,ofrenda
Old Homestead Restaurant,"56 9th Avenue,New York, NY  10011",4,Meatpacking District ,New York County, Steak,154,3.6,40364715,0.0005050869622033833,old homestead
Olives,"201 Park Avenue South,New York, NY  10003",4,Union Square ,New York County, Mediterranean,120,3.9,50043852,0.11205690592006068,l'express
Olio Pizza e Pi,"3 Greenwich Ave,New York, NY  10011",2,West Village ,New York County, Italian,-1,-1,41466316,0.01634375395424337,olio e piu
Okeanos Restaurant,"314 7th Ave.,Brooklyn, NY  11215",2,Park Slope ,Kings County, Greek,3,3.7,40619905,0.17567034434166198,dizzy's restaurant
Octavia's Porch,"40 Ave. B,New York, NY  10009",2,Lower East Side ,New York County," Global, International",-1,-1,41682808,0.13228275782876237,josie's bar
The Odeon,"145 W. Broadway,New York, NY  10013",2,TriBeCa - Downtown ,New York County, French,159,3.9,40930101,0.0026773747533810526,the odeon
Oceana,"120 West 49th Street,New York, NY  10020",3,Midtown West ,New York County, Seafood,421,4.1,41420319,0.0,oceana
Ocean Grill New York,"384 Columbus Avenue at 78th Street,New York, NY  10024",3,Upper West Side ,New York County, Seafood,232,4.0,40387339,0.1263943494584598,uno pizzeria and grill
Nove Italian Bistro,"3900 Richmond Avenue,Staten Island, NY  10312",3,Staten Island ,Richmond County, Italian,19,4.3,41549545,0.7607095646957792,il sogno italiano ristorante
Nuela,"43 W. 24th St.,New York, NY  10010",2,Chelsea ,New York County, Latin American,186,3.8,41041142,0.07057510964020268,rogue
Novecento New York,"343 West Broadway,New York, NY  10013",3,SoHo ,New York County, Argentinean,39,3.9,40392141,0.0006649505156551643,novecento
The Oak Room at the Plaza Hotel,"10 Central Park South,New York, NY  10019",4,Midtown East ,New York County, American,145,4.2,50002713,0.04030138158663382,tartinery (the plaza shops)
Novit - New York City,"102 East 22nd Street,New York, NY  10010",3,Gramercy / Flatiron ,New York County, Italian,122,3.9,41420036,0.06810173514787499,spin new york
Numero 28 Pizzeria Napoletana,"176 2nd Avenue,New York, NY  10003",2,East Village ,New York County, Italian,10,3.8,50008669,0.0029582150016817343,numero 28 pizzeria
North Square,"103 Waverly Place,New York, NY  10011",3,West Village ,New York County, Contemporary American,142,4.0,41289750,0.0002623764316903163,north square
Nougatine at Jean Georges,"1 Central Park West,New York, NY  10023",3,Midtown West ,New York County, French,474,4.2,40562839,0.0035138158350401087,jean georges
Nomado 33,"165 East 33rd Street,New York, NY  10016",2,Murray Hill ,New York County, Sushi,29,3.7,50019239,0.003350123925614619,nomado 33
Norma's at Le Parker Meridien,"119 West 56th Street,New York, NY  10019",2,Midtown West ,New York County, American,620,3.9,50040890,0.0986893359240536,souvlaki gr midtown
Nomad,"78 2nd Avenue,New York, NY  10003",2,East Village ,New York County, Mediterranean,41,3.7,41169143,0.0008147705713587288,nomad
Nolita House Restaurant,"47 East Houston Street,2nd Floor,New York, NY  10012",2,NoLita ,New York County, Comfort Food,29,3.7,40381752,0.07757224682989372,noho star restaurant
Nobu Next Door,"105 Hudson Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Japanese,178,3.9,40660138,0.005363937364616782,nobu next door
Nobu New York,"105 Hudson Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Japanese,281,4.0,40401946,0.005363937364616782,nobu new york
Nobu Fifty Seven,"40 West 57th Street,New York, NY  10019",4,Midtown West ,New York County, Japanese,200,4.0,41118839,0.001706522052530329,nobu fifty seven
Nisos Mediterranean Cuisine,"176 8th Avenue,New York, NY  10011",2,Chelsea ,New York County, Mediterranean,20,3.7,41453954,0.07137784891854113,chipotle mexican grill
Nizza - NYC,"630 9th Avenue,New York, NY  10036",2,Hell's Kitchen ,New York County, Italian,137,3.7,41235443,0.01853416740012341,nizza
Nirvana,"346 Lexington Avenue,New York, NY  10001",3,Midtown East ,New York County, Indian,48,3.8,41565488,0.0013327128336252606,nirvana
NIOS,"130 West 46th St.,New York, NY  10036",3,Midtown West ,New York County, American,68,3.8,41164678,0.005883612973624751,nios restaurant
Nino's,"1354 First Avenue,New York, NY  10021",3,Upper East Side ,New York County, Italian,49,3.8,40620726,0.00045406456273462063,nino's restaurant
Nino's Tuscany,"117 W. 58th Street,New York, NY  10019",3,Midtown West ,New York County, Italian,53,3.8,41075000,0.001343581799360516,nino tuscany
Ninja,"25 Hudson St,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Japanese,334,4.2,41097180,0.0,ninja restaurant
Niles New York City,"371 7th Avenue,New York, NY  10001",3,Midtown West ,New York County, Contemporary American,59,3.6,40386340,0.0015509919843528593,niles restaurant
Nicole at The Novotel Hotel Times Square,"226 West 52nd Street,New York, NY  10019",2,Theater District / Times Square ,New York County, International,9,3.6,50000711,0.06622835173789,the manhattan at times square
Nick & Stef's,"9 Penn Plaza,New York, NY  10001",3,Midtown West ,New York County, Steak,54,3.9,40946369,0.0,nick & stef's steakhouse
