name,address,price,neighborhood,county,type,reviews,stars,lng,lat
Rouge Tomate,"10 East 60th Street,New York, NY  10022",3,Midtown East ,New York County, Contemporary American,368,4.1,-73.9718949,40.7643562
Rosie O'Grady's,"800 7th Avenue,New York, NY  10019",3,Midtown West ,New York County, American,98,3.8,-73.9825188,40.7626082
Rosa Mexicano - Lincoln Center,"61 Columbus Avenue,New York, NY  10023",3,Lincoln Center ,New York County, Mexican / Southwestern,442,4.1,-73.98339349999999,40.7711442
Rosa Mexicano - Riverside Square,"390 Hackensack Avenue #60,Hackensack, NJ  07601",3,Hackensack ,Bergen County, Mexican / Southwestern,78,4.0,-74.03125659999999,40.9054489
Rosa Mexicano - First Avenue,"1063 1st Avenue,New York, NY  10022",3,Midtown East ,New York County, Mexican / Southwestern,181,4.2,-73.9627039,40.75896580000001
Roots of Sea Cliff,"242 Sea Cliff Avenue,Sea Cliff, NY  11579",3,Sea Cliff ,Nassau County, American,14,3.8,-73.64580149999999,40.8493197
Rod's Steak and Seafood Grille,"1 Convent Road,Convent Station, NJ  07961",3,Morristown ,Morris County, Steak,102,4.1,-74.4448729,40.7776554
Robert's,"755 Montauk Highway,Water Mill, NY  11976",4,Water Mill ,Suffolk County, Italian,42,4.2,-72.3517071,40.910748
Roc Restaurant,"190 - A Duane Street,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Italian,54,3.8,-74.0104963,40.7173643
RoCCA - Glen Rock,"203 Rock Road,Glen Rock, NJ  07452",3,Glen Rock ,Bergen County, American,54,4.3,-74.131667,40.9627341
Roger Sherman Inn,"195 Oenoke Ridge,New Canaan, CT  06840",3,New Canaan ,Fairfield County, Continental,33,4.2,-73.49935599999999,41.1551183
Rizzuto's Wood-Fired Kitchen & Bar - West Hartford,"111 Memorial Road,West Hartford, CT  06107",2,West Hartford ,Hartford County, Italian,113,3.8,-72.7411328,41.7593614
Rizzuto's Wood-Fired Kitchen & Bar - Westport,"540 Riverside Avenue,Westport, CT  06880",2,Westport ,Fairfield County, Italian,56,3.8,-73.37111949999999,41.1224069
Riverview,"2-01 50th Avenue,Long Island City, NY  11101",3,Long Island City ,Queens County, American,47,3.5,-73.9585074,40.7437268
Riverpark,"450 East 29th Street,New York, NY  10016",2,Murray Hill ,New York County, American,121,4.1,-73.9738974,40.7396742
River City Grille,"6 South Broadway,Irvington, NY  10533",3,Irvington ,Westchester County, Contemporary American,37,3.9,-73.8651292,41.0384044
River Cafe,"1 Water St.,Brooklyn, NY  11201",4,DUMBO / Vinegar Hill ,Kings County, American,471,4.5,-73.99483230000001,40.7036154
Riverside Manor Restaurant & Banquets,"27 East 33rd Street,Paterson, NJ  07514",2,Paterson ,Passaic County, Italian,-1,-1,-74.1416796,40.9241588
Ristorante Lombardo,"1198 Hertel Ave,Buffalo, NY  14216",3,Buffalo ,Erie County, Italian,15,4.5,-78.8638441,42.9480864
Rioja Restaurant and Wine Bar,"600 White Plains Road,Tarrytown, NY  10591",2,Tarrytown ,Westchester County, Contemporary American,2,2.5,-73.8373548,41.0612046
Ristorante DeGrezia,"231 E 50th Street,New York, NY  10022",3,Midtown East ,New York County, Italian,50,4.4,-73.9694409,40.7554923
Rio Rodizio - Newark (Formerly Seabra Rodizio),"1034 McCarter Highway,Newark, NJ  07102",2,Newark ,Essex County, Brazilian Steakhouse,15,3.3,-74.1669579,40.7440704
The River Cafe Trattoria and Wood Oven Pizza,"517 River Drive,Garfield, NJ  07026",2,Garfield ,Bergen County, Italian,-1,-1,-74.1148276,40.8756351
Resto,"111 East 29th Street,New York, NY  10016",3,Gramercy / Flatiron ,New York County, Belgian,109,3.8,-73.9827379,40.7437803
Rino Trattoria ,"877 Eighth Avenue,New York, NY  10019",2,Theater District / Times Square ,New York County, Italian,27,3.7,-73.9852801,40.7639193
Riingo,"205 E. 45th Street,New York, NY  10017",3,Midtown East ,New York County, Contemporary American,37,3.6,-73.9724398,40.75269369999999
Restaurant Soba Nippon,"19 West 52nd Street,New York, NY  10019",3,Midtown West ,New York County, Japanese,33,3.4,-73.9773143,40.7603531
Restaurant X & Bully Boy Bar,"117 North Route 303,Congers, NY  10920",3,Congers ,Rockland County, American,152,4.3,-73.9352756,41.154998
Revel,"10 Little West 12th Street,New York, NY  10014",3,Meatpacking District ,New York County, European,67,3.6,-74.00689129999999,40.7396486
Restaurant Latour,"One Wild Turkey Way,Hardyston, NJ  07419",4,Hardyston ,Sussex County, Contemporary American,8,4.6,-74.55053819999999,41.1607421
Restaurant i - Hotel Gramerci,"893 Broadway,New York, NY  10003",3,Gramercy / Flatiron ,New York County, American,13,3.5,-73.99007519999999,40.7388418
Restaurant at The Hotel Tides,"408 Seventh Avenue,Asbury Park, NJ  07712",2,Asbury Park ,, American,-1,-1,-74.0040205,40.2277248
Restaurant Jean-Louis,"61 Lewis Street,Greenwich, CT  06830",3,Greenwich ,Fairfield County, Contemporary French,46,4.3,-73.6248846,41.0291205
Restaurant L,"9 Franklin Tpk,Allendale, NJ  07401",2,Allendale ,Bergen County, American,16,3.8,-74.1232296,41.0205425
The Restaurant at the Inn,"47 Quogue Street,Quogue, NY  11959",3,Quogue ,Suffolk County, American,2,4.5,-72.6082179,40.815225
Restaurant Nippon,"155 East 52nd Street,New York, NY  10022",3,Midtown East ,New York County, Japanese,37,4.0,-73.97035939999999,40.7574943
Restaurant 2 Vine,"24 Winthrop Street,Rochester, NY  14607",2,Rochester ,Monroe County, Contemporary American,-1,-1,-77.597387,43.157305
Rein at the Garden City Hotel,"45 7th Street,Garden City, NY  11530",3,Garden City ,Nassau County, Contemporary American,34,3.5,-73.640548,40.724503
Remington's,"142 Main Street,Manasquan, NJ  08736",2,Manasquan ,Monmouth County, Contemporary American,38,4.1,-74.04941769999999,40.1228177
Remi,"145 West 53rd Street,New York, NY  10019",4,Midtown West ,New York County, Italian,179,4.0,-73.9805339,40.7629624
Redeye Grill,"890 Seventh Avenue,New York, NY  10019",3,Midtown West ,New York County, American,226,3.9,-73.9803811,40.7650698
red/bar brasserie,"210 Hampton Road,Southampton, NY  11968",4,Southampton ,Suffolk County, American,41,4.0,-72.38244809999999,40.8892064
Regional,"2607 Broadway,New York, NY  10025",2,Upper West Side ,New York County, Italian,42,3.5,-73.9710867,40.7962958
Red Restaurant,"19 Fulton Street,New York, NY  10038",2,South Street Seaport ,New York County, Mexican / Southwestern,16,3.8,-74.003546,40.7070877
Red Hat on the River,"One Bridge Street,Irvington, NY  10533",3,Irvington ,Westchester County, Contemporary French,109,4.2,-73.8738083,41.0395438
Red Cat,"227 Tenth Avenue,New York, NY  10011",3,Chelsea ,New York County, American,295,4.1,-74.00419,40.748122
Red Egg,"202 Centre Street,New York, NY  10013",2,Chinatown ,New York County, Chinese,37,3.4,-73.99898189999999,40.7188263
Red,"3 Broad Street,Red Bank, NJ  07701",3,Red Bank ,Monmouth County, American,42,3.8,-74.0651922,40.3520712
Recette,"328 West 12th Street,New York, NY  10014",3,West Village ,New York County, Contemporary American,200,3.9,-74.0066114,40.7374151
Rayuela,"165 Allen Street,New York, NY  10002",3,Lower East Side ,New York County, Latin American,163,4.0,-73.9897397,40.7212711
Re Sette,"7 West 45th Street,New York, NY  10036",4,Midtown West ,New York County, Italian,37,3.6,-73.98006339999999,40.7558969
"Rare, the Steak House","440 Main Street,Little Falls, NJ  07424",3,Little Falls ,Passaic County, Steakhouse,54,4.1,-74.2427769,40.8865467
Rats Restaurant - Grounds for Sculpture,"16 Fairgrounds Road,Hamilton, NJ  08619",4,Princeton ,Mercer County, Contemporary French,351,4.2,-74.7164596,40.2377635
The Rail House 1449,"1449 Irving Street,Rahway, NJ  07065",3,Rahway ,Union County, Contemporary American,-1,-1,-74.27534299999999,40.606834
Rare Bar and Grill,"152 West 26th Street,New York, NY  10001",2,Chelsea ,New York County, Comfort Food,94,3.8,-73.993757,40.7455199
Racioppi's,"107 Oakland Street,Red Bank, NJ  07701",3,Red Bank ,Monmouth County, Italian,4,3.3,-74.0747954,40.3477572
Race Lane,"31 Race Lane,East Hampton, NY  11937",2,East Hampton ,Suffolk County, American,66,3.3,-72.195431,40.9637775
Radicchio - Ridgewood,"34 Franklin Ave,Ridgewood, NJ  07450",3,Ridgewood ,Bergen County, Italian,26,3.3,-74.1185479,40.980908
Radiance Tea House & Books,"158 West 55th St.,New York, NY  10019",2,Midtown West ,New York County, Asian,9,3.9,-73.98053879999999,40.7638452
RARE 650,"650 Jericho Turnpike,Syossett, NY  11791",4,Syosset ,Nassau County, Steak,168,4.3,-73.4950403,40.8106987
Ragazzi Italian Kitchen & Bar,"2950 Middle Country Road,Nesconset, NY  11767",2,Nesconset ,Suffolk County, Italian,47,3.8,-73.1320571,40.8615691
Raoul's,"180 Prince St.,New York, NY  10012",3,SoHo ,New York County, Contemporary French,102,4.1,-74.0021294,40.7261809
reBar,"147 Front Street,Brooklyn, NY  11201",2,DUMBO / Vinegar Hill ,Kings County, Gastro Pub,15,3.5,-73.9870991,40.7027497
The Rabbit in the Moon,"47 West 8th Street,New York, NY  10011",2,Greenwich Village ,New York County, English,40,3.9,-73.9984867,40.73333299999999
Quality Meats,"57 West 58th Street,New York, NY  10019",4,Midtown West ,New York County, American,392,4.3,-73.9761481,40.76500850000001
Quattro - Trump Soho,"246 Spring Street,New York, NY  10013",3,SoHo ,New York County, Italian,99,3.9,-74.00549459999999,40.7253319
Pylos,"128 East 7th Street,New York, NY  10009",3,East Village ,New York County, Greek,39,4.1,-73.984146,40.7260759
R Lounge at Two Times Square,"714 Seventh Avenue,Two Times Square,New York, NY  10036",3,Theater District / Times Square ,New York County, Tapas / Small Plates,58,3.8,-73.9846391,40.7596846
Public,"210 Elizabeth Street,New York, NY  10012",3,NoLita ,New York County, International,229,4.0,-73.9940806,40.722198
Pulse Restaurant and Bar,"45 Rockefeller Plaza,3rd Floor,New York, NY  10111",2,Rockefeller Center Midtown ,New York County, American,8,3.6,-73.9775995,40.7590884
Puttanesca,"859 9th Avenue,New York, NY  10019",2,Midtown West ,New York County, Italian,126,3.4,-73.9866,40.767238
Pure Food and Wine,"54 Irving,New York, NY  10003",4,Gramercy / Flatiron ,New York County, Vegetarian,203,4.1,-73.98700649999999,40.7360063
Punch Restaurant,"913 Broadway,New York, NY  10010",2,Gramercy / Flatiron ,New York County, American,61,3.7,-73.989859,40.7396272
Punta Dura,"41-15 34th Avenue,Astoria, NY  11103",3,Astoria ,Queens County, Italian,3,4.0,-73.9194366,40.756156
Prime Steakhouse,"42 E. Main Street,Webster, NY  14580",3,Webster ,Monroe County, Steak,69,4.2,-77.4288028,43.2126093
Primehouse New York,"381 Park Avenue South at 27th Street,New York, NY  10016",4,Gramercy / Flatiron ,New York County, Steakhouse,128,4.1,-73.98421770000002,40.7423612
Prime 490,"490 Rhode Island Street,Buffalo, NY  14213",2,Buffalo ,Erie County, Steakhouse,-1,-1,-78.8838878,42.9127786
Prime at Saratoga National,"458 Union Avenue,Saratoga Springs, NY  12866",3,Saratoga Springs ,Saratoga County, Steakhouse,71,4.5,-73.7335315,43.0656997
Prime - Huntington,"117 New York Avenue,Huntington, NY  11743",4,Huntington ,Suffolk County, American,222,4.3,-73.418071,40.8864214
Pranna,"79 Madison Avenue,New York, NY  10016",3,Gramercy / Flatiron ,New York County, Southeast Asian,60,3.6,-73.9852222,40.7440668
The Post House,"28 E.63rd St.,New York, NY  10021",4,Upper East Side ,New York County, American,58,4.0,-73.9692137,40.7657132
Pound & Pence,"55 Liberty Street,New York, NY  10005",2,Financial District ,New York County, Contemporary American,16,3.4,-74.009407,40.7088048
The Portly Grape Inn & Restaurant,"305 North Road,Greenport, NY  11944",2,Greenport ,Suffolk County, Contemporary American,8,2.9,-72.3864651,41.102847
Posto 22,"22 Division Street,New Rochelle, NY  10801",2,New Rochelle ,Westchester County, Italian,19,3.7,-73.7835369,40.9086536
Portobello Restaurant,"208 Thompson Street,New York, NY  10012",2,Greenwich Village ,New York County, Italian,1,2.0,-73.9991905,40.7286588
Porto Vivo,"7 Gerard Street,Huntington, NY  11743",3,Huntington ,Suffolk County, Italian,62,4.0,-73.4250797,40.8725293
Press 200 Wine Bar & Bistro,"200 Crown Street,New Haven, CT  06511",2,New Haven ,New Haven County, Contemporary American,21,4.0,-72.928518,41.3052526
Porters on the Lane,"19 Bellport Lane,Bellport, NY  11713",3,Bellport ,Suffolk County, American,77,4.3,-72.9387005,40.7569897
The Porter House Steak House & Cigar Bar,"125 N. Kinderkamack Road,Montvale, NJ  07645",3,Montvale ,Bergen County, American,11,3.4,-74.0270529,41.049623
Port of Call,"7 Main Street,Catskill, NY  12414",2,Catskill ,Greene County, Seafood,5,3.4,-73.8536601,42.2102405
The Porter House Grill,"595 Broadway,Norwood, NJ  07648",3,Norwood ,Bergen County, Steakhouse,5,3.0,-73.956499,40.9967041
Pomme Cafe & Brasserie,"37-19 Broadway,Astoria, NY  11103",2,Astoria ,Queens County, French,14,3.4,-73.919761,40.759588
Ponte's Restaurant,"39 Desbrosses Street,New York, NY  10013",2,TriBeCa - Downtown ,New York County, Italian,6,3.7,-74.0109609,40.7235356
Polpo,"554 Old Post Road #3,Greenwich, CT  06830",3,Greenwich ,Fairfield County, Italian,40,3.8,-73.6430736,41.020703
Pomaire,"371 West 46th Street,New York, NY  10036",2,Theater District / Times Square ,New York County, Latin American,55,3.7,-73.9902681,40.7609632
Porter House New York,"10 Columbus Circle,New York, NY  10019",4,Midtown West ,New York County, Steakhouse,226,4.1,-73.98319029999999,40.76842509999999
Plunge Bar,"18 Ninth Ave,New York, NY  10014",3,Meatpacking District ,New York County, American,-1,-1,-74.00573349999999,40.7398532
Ponty Bistro,"218 Third Avenue,New York, NY  10003",2,Gramercy / Flatiron ,New York County, French,41,3.9,-73.98531109999999,40.7362894
Poco,"33 Avenue B,New York, NY  10009",2,Lower East Side ,New York County, Tapas / Small Plates,99,3.9,-73.98292210000001,40.7224497
The Pluckemin Inn,"359 Route 206,Bedminster, NJ  07921",3,Bedminster ,Somerset County, Contemporary American,89,4.4,-74.64352699999999,40.6497262
Pond House Cafe,"1555 Asylum Avenue,West Hartford, CT  06117",2,West Hartford ,Hartford County, Fusion / Eclectic,147,4.3,-72.71833649999999,41.7763931
Pipa,"38 East 19th Street,New York, NY  10003",2,Union Square ,New York County, Tapas / Small Plates,191,3.8,-73.98928409999999,40.7379803
Plataforma Churrascaria,"316 West 49th Street,New York, NY  10019",4,Theater District / Times Square ,New York County, Brazilian Steakhouse,112,4.1,-73.9877321,40.7619602
Pip's at The Copper Beech Inn,"46 Main Street,Ivoryton, CT  06442",4,Essex ,Middlesex County, Contemporary American,61,4.4,-72.4329084,41.3462858
Piquant Restaurant,"259 Flatbush Avenue,Brooklyn, NY  11217",2,Park Slope ,Kings County, Mexican / Southwestern,20,4.2,-73.97425609999999,40.68013690000001
Plein Sud,"85 West Broadway,New York, NY  10007",3,TriBeCa - Downtown ,New York County, French,100,3.6,-74.0091396,40.715201
Pio Pio - Jackson Heights,"84-02 Northern Blvd,Jackson Heights, NY  11372",3,Jackson Heights ,Queens County, Peruvian,2,5.0,-73.88325320000001,40.7557359
Piola - New York City,"48 East 12th Street,New York, NY  10003",2,Union Square ,New York County, Italian,46,3.6,-73.9916243,40.7332675
Pio Pio - Hell's Kitchen,"604 Tenth Avenue,New York, NY  10036",3,Hell's Kitchen ,New York County, Peruvian,96,3.9,-73.994355,40.76061199999999
The Pine Social,"36 Pine Street,New Canaan, CT  06840",3,New Canaan ,Fairfield County, Contemporary American,49,3.8,-73.4962879,41.144594
Pierre's - Bridgehampton,"2468 Main street,P.O. Box 2200,Bridgehampton, NY  11932",3,Hamptons ,Suffolk County, French,7,3.1,-72.3041997,40.9362935
Pier 45,"1000 North River Street,Rochester, NY  14612",2,Rochester ,Monroe County, Contemporary American,165,4.0,-77.6072978,43.2557445
Pietrasanta,"683 9th Avenue,New York, NY  10036",2,Hell's Kitchen ,New York County, Italian,38,3.6,-73.99045009999999,40.7617898
Picholine,"35 West 64th St.,New York, NY  10023",4,Lincoln Center ,New York County, French,257,4.5,-73.9810892,40.7719952
PicNic Market & Cafe,"2665 Broadway,New York, NY  10025",2,Upper West Side ,New York County, French,46,3.2,-73.9695369,40.79821580000001
Piccolo Restaurant of Huntington,"215 Wall Street,Huntington, NY  11743",4,Huntington ,Suffolk County, Italian,56,4.7,-73.4257393,40.8786864
Piccolo Arancio,"819 Farmington Ave,Farmington, CT  06032",3,Farmington ,Hartford County, Italian,53,4.0,-72.8259491,41.7266435
Piccola Venezia Restaurant,"42-01 28th Ave,Astoria, NY  11103",4,Astoria ,Queens County, Italian,31,4.3,-73.911765,40.7647939
Piccola Bussola Ristorante - Huntington,"970 W. Jericho Turnpike,Huntington, NY  11743",3,Huntington ,Suffolk County, Italian,17,3.8,-73.4445665,40.8220004
Piano Due,"151 West 51st Street,New York, NY  10019",4,Midtown West ,New York County, Italian,78,4.1,-73.98199249999999,40.7616065
Philoxenia Restaurant,"32-07 34th Ave,Astoria, NY  11106",2,Astoria ,Queens County, Greek,29,3.8,-73.9260342,40.7593326
Piccola Bussola Ristorante - Mineola,"159 Jericho Turnpike,Mineola, NY  11501",3,Mineola ,Nassau County, Italian,11,3.7,-73.6418037,40.7486882
Philippe,"33 East 60th Street,New York, NY  10022",3,Upper East Side ,New York County, Chinese,201,3.8,-73.9702803,40.7641425
Petrossian - New York,"182 West 58th Street,New York, NY  10019",4,Midtown West ,New York County, Contemporary French,124,4.0,-73.979274,40.766098
Philippe - Jericho,"399 Jericho Tpke,Jericho, NY  11753",2,East Hampton ,Nassau County, Chinese,18,3.3,-73.5351726,40.7940954
Phao Thai Kitchen,"29 Main Street,Sag Harbor, NY  11963",2,Sag Harbor ,Suffolk County, Thai,27,4.0,-72.2952384,41.0014614
Piccolo Posto Ristorante,"150 West Mombasha Road,Monroe, NY  10950",2,Monroe ,Orange County, Italian,5,4.6,-74.2147899,41.278641
Petaluma,"1356 1st Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,58,3.7,-73.9553054,40.7682295
Pescatore,"955-957 2nd Ave.,New York, NY  10022",3,Midtown East ,New York County, Italian,49,3.7,-73.9684761,40.75542739999999
Persepolis,"1407 Second Avenue,New York, NY  10021",2,Upper East Side ,New York County, Persian,37,3.7,-73.9579965,40.7698353
Persephone,"115 East 60th Street,New York, NY  10022",3,Upper East Side ,New York County, Greek,87,3.9,-73.96863359999999,40.7632685
Percy's Tavern | Knife + Fork Restaurant,"210 Avenue A,New York, NY  10009",3,East Village ,New York County, Modern European,8,4.4,-73.9806069,40.7297354
Periyali,"35 W. 20th St.,New York, NY  10011",3,Gramercy / Flatiron ,New York County, Greek,147,4.0,-73.9928977,40.7407162
Perilla Restaurant,"9 Jones Street,New York, NY  10014",3,Greenwich Village ,New York County, American,326,4.2,-74.00220639999999,40.7323362
Per Lei,"1347 Second Avenue,New York, NY  10021",2,Upper East Side ,New York County, Italian,80,3.8,-73.959204,40.768135
PeraBell Food Bar,"114 West Main Street,Patchogue, NY  11772",2,Patchogue ,Suffolk County, American,38,4.3,-73.0177338,40.76566
Per Se,"10 Columbus Circle,New York, NY  10019",4,Columbus Circle ,New York County, American,143,4.7,-73.98319029999999,40.76842509999999
Pera Mediterranean Brasserie,"303 Madison Avenue,New York, NY  10017",3,Midtown East ,New York County, Mediterranean,170,3.7,-73.9794252,40.752316
Peppercorns Grill,"357 Main St.,Hartford, CT  06106",3,Hartford / West Hartford ,Hartford County, Italian,112,4.0,-72.6754084,41.7603488
Penthouse 808 at the Ravel Hotel,"8-08 Queens Plaza South,Long Island City, NY  11101",3,Long Island City ,Queens County, Pan-Asian,39,3.5,-73.9494354,40.7537901
Perry St,"176 Perry Street,New York, NY  10014",3,West Village ,New York County, Contemporary American,266,4.2,-74.00966939999999,40.7344162
Perbacco - NYC,"234 East 4th Street,New York, NY  10009",3,East Village ,New York County, Italian,123,4.0,-73.983137,40.7233126
The Pembroke Room - The Lowell New York,"28 East 63rd Street,New York, NY  10065",3,Upper East Side ,New York County, Contemporary American,10,4.3,-73.9692137,40.7657132
Pelea Mexicana,"33 Avenue of the Americas,New York, NY  10013",3,TriBeCa - Downtown ,New York County, Mexican,12,3.7,-74.0052092,40.7206058
The Pearl Room,"8201 3rd Ave,Brooklyn, NY  11209",3,Bay Ridge ,Kings County, Seafood,11,4.0,-74.0295955,40.6262018
The Peekskill Brewery,"55 Hudson Avenue,Peekskill, NY  10566",2,Peekskill ,Westchester County, American,15,3.9,-73.9298929,41.2856837
The Peacock Inn,"20 Bayard Lane,Princeton, NJ  08540",3,Princeton ,Mercer County, Contemporary American,116,4.4,-74.6654753,40.3491315
Pearl East,"1191 Northern Blvd.,Manhasset, NY  11030",3,Manhasset ,Nassau County, Chinese,36,4.0,-73.7022556,40.7914909
Peacock Alley,"301 Park Ave,New York, NY  10022",4,Midtown East ,New York County, Contemporary American,49,4.0,-73.9734057,40.75651999999999
Peasant,"194 Elizabeth Street,New York, NY  10012",3,SoHo ,New York County, Italian,247,4.0,-73.994306,40.7217095
Pazza Notte,"1375A 6th Avenue,New York, NY  10019",2,Midtown West ,New York County, Mediterranean,12,3.4,-73.9781737,40.76357489999999
Pazzo Pazzo,"74 Speedwell Avenue,Morristown, NJ  07960",2,Morristown ,Morris County, Italian,66,3.8,-74.4819101,40.8001724
Pazzia,"1574 2nd Avenue,New York, NY  10028",2,Upper East Side ,New York County, Italian,-1,-1,-73.9535392,40.7750381
Patty and Bun,"61 West 8th St.,New York, NY  10011",2,West Village ,New York County, American,23,3.4,-73.99896129999999,40.7336414
Paul & Jimmy's Restaurant,"123 East 18th Street,New York, NY  10003",2,Gramercy / Flatiron ,New York County, Italian,20,3.4,-73.9872922,40.7367659
Pazzo Restaurant,"141 West Front Street,Red Bank, NJ  07701",2,Red Bank ,Monmouth County, Italian,6,3.2,-74.0716303,40.3505461
The Patio at 54 Main,"54 Main Street,Westhampton Beach, NY  11978",3,Hamptons ,Suffolk County, American,25,3.9,-72.64513280000001,40.8091935
Pasta Pasta,"234 East Main Street,Port Jefferson, NY  11777",3,Port Jefferson ,Suffolk County, Italian,110,4.2,-73.0673656,40.9455496
Patroon,"160 East 46th Street,New York, NY  10017",3,Midtown East ,New York County, American,57,4.1,-73.9732416,40.7533599
pastaVino,"149 Mineola Boulevard,Mineola, NY  11501",2,Garden City ,Nassau County, Italian,16,3.6,-73.6411171,40.7430037
Pascalou,"1308 Madison Avenue,New York, NY  10128",2,Upper East Side ,New York County, Contemporary French,66,3.8,-73.9557287,40.7850848
Passionn,"77 Walnut Street,Montclair, NJ  07042",3,Montclair ,Essex County, French,54,4.1,-74.2084054,40.8151816
Pasquale's,"1655-200 Oak Tree Rd,Edison, NJ  08820",2,Edison ,Middlesex County, Italian,30,3.9,-74.3397013,40.5717892
Parlor Steakhouse,"1600 3rd Avenue,New York, NY  10128",3,Upper East Side ,New York County, Steakhouse,151,3.9,-73.9525044,40.7813744
The Park Room at The Helmsley Park Lane Hotel,"36 Central Park South,New York, NY  10019",3,Midtown West ,New York County, Continental,13,3.5,-73.975335,40.76482
Park Avenue Winter,"100 E. 63rd St.,New York, NY  10021",3,Upper East Side ,New York County, Contemporary American,252,4.1,-73.9676044,40.7650225
Park Avenue Tavern,"99 Park Avenue,New York, NY  10016",3,Midtown East ,New York County, Contemporary American,-1,-1,-73.9784511,40.7503381
The Park Steakhouse,"151 Kinderkamack Road,Park Ridge, NJ  07656",3,Park Ridge ,Bergen County, Steakhouse,7,3.9,-74.0328457,41.034194
The Parlour Midtown,"247 West 30th St.,New York, NY  10001",2,Midtown West ,New York County, Steakhouse,9,3.9,-73.9940649,40.7494185
Pasha - NYC,"70 West 71st Street,New York, NY  10023",3,Upper West Side ,New York County, Turkish,85,3.9,-73.9790728,40.7764537
Park & Orchard,"240 Hackensack Street,East Rutherford, NJ  07073",2,East Rutherford ,Bergen County, American,51,3.9,-74.0973171,40.8281358
Park Avenue Bistro,"377 Park Avenue South,New York, NY  10016",3,Gramercy / Flatiron ,New York County, French,31,3.5,-73.9844422,40.7422998
The Park,"118 10th Avenue,New York, NY  10011",2,Chelsea ,New York County, American,151,3.4,-74.00634,40.7441958
Paratha Junction,"3201 Highway 27,Franklin Park, NJ  08823",2,Franklin Park ,Somerset County, Indian,4,3.0,-74.5466927,40.434205
Park Avenue Bar & Grill,"3417 Park Avenue,Union City, NJ  07087",2,Weehawken ,Hudson County, Contemporary American,1,4.0,-74.0230796,40.7710307
Paprika,"110 St. Marks Place,New York, NY  10009",2,East Village ,New York County, Italian,53,4.0,-73.98432369999999,40.7269605
Papillon Bistro and Bar,"22 East 54 St.,New York, NY  10022",3,Midtown East ,New York County, French,18,3.6,-73.974326,40.760342
Paradou,"8 Little West 12th Street,New York, NY  10014",2,Meatpacking District ,New York County, French,111,3.5,-74.0068388,40.73962110000001
Pappardella,"316 Columbus Avenue,New York, NY  10023",3,Upper West Side ,New York County, Italian,38,3.6,-73.9778048,40.7793602
Papasito Mexican Grill and Agave Bar,"223 Dyckman Street,New York, NY  10034",2,Inwood ,New York County, Mexican,13,3.8,-73.9273432,40.8659463
Papatzul,"55 Grand Street,New York, NY  10013",3,SoHo ,New York County, Mexican / Southwestern,45,3.6,-74.00367270000001,40.7221496
Papacelle,"152 Simsbury Road,Building 9,Avon, CT  06001",3,Avon ,Hartford County, Italian,13,4.1,-72.8297209,41.8186082
Paola's Restaurant,"1295 Madison Ave,New York, NY  10028",3,Upper East Side ,New York County, Italian,73,4.0,-73.9556092,40.784769
Paolo Lombardi's Ristorante,"104 W. Sand Lake Road,Wynantskill, NY  12198",2,Albany ,Rensselaer County, Italian,9,4.6,-73.6325386,42.6860323
Panico's,"103 Church Street,New Brunswick, NJ  08901",3,New Brunswick ,Middlesex County, Italian,12,3.8,-74.4433422,40.49634289999999
Palmer's Crossing,"145 Dean Drive,Tenafly, NJ  07670",2,Tenafly ,Bergen County, American,6,3.8,-73.9648088,40.9225134
Pampano,"209 E. 49th St.,New York, NY  10017",3,Midtown East ,New York County, Mexican,160,4.0,-73.9704345,40.7550546
The Palm - NYC Too,"840 Second Avenue,New York, NY  10017",3,Midtown East ,New York County, Steakhouse,134,4.2,-73.9706949,40.7514652
Palma,"28 Cornelia Street,New York, NY  10003",3,Greenwich Village ,New York County, Italian,60,4.2,-74.0023327,40.7311708
Pane e Vino - Brooklyn,"174 Smith Street,Brooklyn, NY  11201",2,Cobble Hill ,Kings County, Italian,48,3.8,-73.991312,40.6858014
The Palm - NYC West Side,"250 West 50th Street,New York, NY  10019",3,Theater District / Times Square ,New York County, Steakhouse,369,4.3,-73.9858466,40.7618477
The Palm - NYC One,"837 Second Avenue,New York, NY  10017",3,Midtown East ,New York County, Steakhouse,187,4.2,-73.9711927,40.7516885
Panama Hatties,"872 East Jericho Turnpike,Huntington Station, NY  11746",4,Huntington ,Suffolk County, American,50,4.0,-73.3786647,40.8349327
"Pacifico- New Haven, CT","220 College Street,New Haven, CT  06510",2,New Haven ,New Haven County, Latin / Spanish,91,4.0,-72.929767,41.30630499999999
The Palm - Tribeca,"206 West Street,New York, NY  10013",4,TriBeCa - Downtown ,New York County, Steakhouse,119,4.1,-74.012682,40.71652599999999
Pala,"198 Allen Street,New York, NY  10002",2,Lower East Side ,New York County, Italian,71,4.0,-73.98857989999999,40.7223506
Padre Figlio,"310 East 44th Street,New York, NY  10017",3,Midtown East ,New York County, Seafood,105,4.2,-73.9704921,40.7505421
The Palm Court at The Plaza Hotel,"Fifth Avenue at Central Park South,New York, NY  10019",3,Midtown East ,New York County, American,349,4.0,-73.9730166,40.7642832
Ovelia Psistaria Bar,"34-01 30th Avenue,Astoria, NY  11103",2,Astoria ,Queens County, Greek,1,4.0,-73.91884830000001,40.7657022
